file_id,file_name,case_id
c71c63ea-239f-42a3-980e-879289f171d1,1c3eaf9a-ffda-4c6d-bffb-2610a37ab837.rna_seq.augmented_star_gene_counts.tsv,TCGA-W3-AA1R
e4992d90-d425-4c03-ab00-5e9bfe232b8f,5566453e-df41-4aab-8dd0-825efbece954.rna_seq.augmented_star_gene_counts.tsv,TCGA-W3-AA1W
4f2d30e4-0c50-49ae-b791-926e28a1f5f0,6d2b5716-f1e0-41af-bdc2-0efce35a3f26.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2MP
e326e361-8c3b-443f-a0dd-ffab24a47451,b428d434-2904-4f67-a66f-b7928e2951e3.rna_seq.augmented_star_gene_counts.tsv,TCGA-ER-A19Q
69e26c15-85d1-42c6-a278-5bc8746a34ef,04e3aeba-c9bd-483d-9484-5ecc0e64a054.rna_seq.augmented_star_gene_counts.tsv,TCGA-EB-A51B
245f93b1-4289-4485-ace9-6aea143be0c9,c2ccc6b3-34d8-47c5-9367-cc53aad1622e.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2GD
d43f1743-577e-4661-8b4b-30fecf950652,2d12ea90-c4f4-4aca-b353-360057b446e2.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A2M8
80f012fc-3440-45f3-bf1e-9656e21d96c5,223494f1-6c0b-446e-998d-53b3b4d0da1a.rna_seq.augmented_star_gene_counts.tsv,TCGA-FR-A3R1
567477da-1a56-45e2-b05d-245aa90bd48e,b02373ab-6860-4066-aebe-2c8a4cdffeda.rna_seq.augmented_star_gene_counts.tsv,TCGA-EE-A17X
226f2102-0ca6-4d88-803e-dfd4ed9af516,b03d2223-38c1-4bb3-be8b-27db05f87b66.rna_seq.augmented_star_gene_counts.tsv,TCGA-D3-A8GD
82b0a570-0bc1-42b8-bc5e-15340268fc0f,66290e22-72a1-4af2-93a6-e4859f91a7ef.rna_seq.augmented_star_gene_counts.tsv,TCGA-DA-A1IC
